Category,Velux Code,Product Name / Description,Size Code,Price (NZD RRP inc GST)
Accessories & Controls,KIX 300,VELUX ACTIVE Starter Kit,N/A,666.0
Accessories & Controls,KLA 300,Climate Sensor,N/A,267.0
Accessories & Controls,KLF 200,Interface Unit,N/A,666.0
Accessories & Controls,KLR 300,Touchscreen Remote,N/A,267.0
Accessories & Controls,ZCT 300,Extendable Rod Control (145-285cm),N/A,92.0
Accessories & Controls,ZZZ 201B,Winder Handle (Within Arms Reach),N/A,72.0
Accessories & Controls,ZZZ 212,Winder Handle (Within Arms Reach),N/A,72.0
Blinds DFD (Manual Duo for Roof Windows),DFD CK02,DFD CK02,CK02,256.0
Blinds DFD (Manual Duo for Roof Windows),DFD CK04,DFD CK04,CK04,276.0
Blinds DFD (Manual Duo for Roof Windows),DFD MK04,DFD MK04,MK04,298.0
Blinds DFD (Manual Duo for Roof Windows),DFD MK06,DFD MK06,MK06,328.0
Blinds DFD (Manual Duo for Roof Windows),DFD MK08,DFD MK08,MK08,367.0
Blinds DFD (Manual Duo for Roof Windows),DFD SK06,DFD SK06,SK06,390.0
Blinds DFD (Manual Duo for Roof Windows),DFD SK08,DFD SK08,SK08,400.0
Flashings EDL (Slate/Shingle),EDL C01,EDL C01,C01,204.0
Flashings EDL (Slate/Shingle),EDL C04,EDL C04,C04,204.0
Flashings EDL (Slate/Shingle),EDL C08,EDL C08,C08,204.0
Flashings EDL (Slate/Shingle),EDL M02,EDL M02,M02,246.0
Flashings EDL (Slate/Shingle),EDL M04,EDL M04,M04,246.0
Flashings EDL (Slate/Shingle),EDL M06,EDL M06,M06,246.0
Flashings EDL (Slate/Shingle),EDL M08,EDL M08,M08,246.0
Flashings EDL (Slate/Shingle),EDL S01,EDL S01,S01,256.0
Flashings EDL (Slate/Shingle),EDL S06,EDL S06,S06,256.0
Flashings EDL (Slate/Shingle),EDL CK02,EDL CK02,CK02,197.0
Flashings EDL (Slate/Shingle),EDL CK04,EDL CK04,CK04,205.0
Flashings EDL (Slate/Shingle),EDL MK04,EDL MK04,MK04,236.0
Flashings EDL (Slate/Shingle),EDL MK06,EDL MK06,MK06,256.0
Flashings EDL (Slate/Shingle),EDL MK08,EDL MK08,MK08,269.0
Flashings EDL (Slate/Shingle),EDL SK06,EDL SK06,SK06,279.0
Flashings EDL (Slate/Shingle),EDL SK08,EDL SK08,SK08,292.0
Flashings EDW (Tile/Metal),EDW C01,EDW C01,C01,214.0
Flashings EDW (Tile/Metal),EDW C04,EDW C04,C04,224.0
Flashings EDW (Tile/Metal),EDW C08,EDW C08,C08,235.0
Flashings EDW (Tile/Metal),EDW M02,EDW M02,M02,235.0
Flashings EDW (Tile/Metal),EDW M04,EDW M04,M04,246.0
Flashings EDW (Tile/Metal),EDW M06,EDW M06,M06,267.0
Flashings EDW (Tile/Metal),EDW M08,EDW M08,M08,280.0
Flashings EDW (Tile/Metal),EDW S01,EDW S01,S01,280.0
Flashings EDW (Tile/Metal),EDW S06,EDW S06,S06,291.0
Flashings EDW (Tile/Metal),EDW CK02,EDW CK02,CK02,206.0
Flashings EDW (Tile/Metal),EDW CK04,EDW CK04,CK04,224.0
Flashings EDW (Tile/Metal),EDW MK04,EDW MK04,MK04,246.0
Flashings EDW (Tile/Metal),EDW MK06,EDW MK06,MK06,267.0
Flashings EDW (Tile/Metal),EDW MK08,EDW MK08,MK08,280.0
Flashings EDW (Tile/Metal),EDW SK06,EDW SK06,SK06,291.0
Flashings EDW (Tile/Metal),EDW SK08,EDW SK08,SK08,299.0
Flat Roof Fixed (FCM),FCM 1430,FCM 1430,1430,614.0
Flat Roof Fixed (FCM),FCM 2222,FCM 2222,2222,629.0
Flat Roof Fixed (FCM),FCM 2230,FCM 2230,2230,652.0
Flat Roof Fixed (FCM),FCM 2234,FCM 2234,2234,697.0
Flat Roof Fixed (FCM),FCM 2246,FCM 2246,2246,758.0
Flat Roof Fixed (FCM),FCM 2270,FCM 2270,2270,1160.0
Flat Roof Fixed (FCM),FCM 3030,FCM 3030,3030,750.0
Flat Roof Fixed (FCM),FCM 3046,FCM 3046,3046,902.0
Flat Roof Fixed (FCM),FCM 3055,FCM 3055,3055,1114.0
Flat Roof Fixed (FCM),FCM 3072,FCM 3072,3072,2054.0
Flat Roof Fixed (FCM),FCM 3434,FCM 3434,3434,766.0
Flat Roof Fixed (FCM),FCM 3446,FCM 3446,3446,978.0
Flat Roof Fixed (FCM),FCM 4646,FCM 4646,4646,1114.0
Flat Roof Fixed (FCM),FCM 4672,FCM 4672,4672,2274.0
Pitched Roof Fixed (FS),FS C01,FS C01,C01,648.0
Pitched Roof Fixed (FS),FS C04,FS C04,C04,722.0
Pitched Roof Fixed (FS),FS C08,FS C08,C08,812.0
Pitched Roof Fixed (FS),FS M02,FS M02,M02,812.0
Pitched Roof Fixed (FS),FS M04,FS M04,M04,820.0
Pitched Roof Fixed (FS),FS M06,FS M06,M06,902.0
Pitched Roof Fixed (FS),FS M08,FS M08,M08,976.0
Pitched Roof Fixed (FS),FS S01,FS S01,S01,869.0
Pitched Roof Fixed (FS),FS S06,FS S06,S06,1050.0
Blinds FSCC (Solar Honeycomb for Flat Roof),FSCC 2222,FSCC 2222,2222,711.0
Blinds FSCC (Solar Honeycomb for Flat Roof),FSCC 2230,FSCC 2230,2230,726.0
Blinds FSCC (Solar Honeycomb for Flat Roof),FSCC 2234,FSCC 2234,2234,733.0
Blinds FSCC (Solar Honeycomb for Flat Roof),FSCC 2246,FSCC 2246,2246,748.0
