VELUX CODE,BOWENS CODE
FCM 1430,FCM1430
FCM 2222,FCM2222
FCM 2230,FCM2230
FCM 2234,FCM2234
FCM 2246,FCM2246
FCM 2270,FCM2270
FCM 3030,FCM3030
FCM 3046,FCM3046
FCM 3055,FCM3055
FCM 3072,FCM3072
FCM3434,FCM3434
FCM 3446,FCM3446
FCM4646,FCM4646
FHC CK02,FHCCK02
FHC CK04,FHCCK04
FHC MK04,FHCMK04
FHC MK06,FHCMK06
FHC MK08,FHCMK08
FHC SK06,FHCSK06
EDW CK02,FLASHEDWCK02
EDW CK04,FLASHEDWCK04
EDW MK04,FLASHEDWMK04
EDW MK06,FLASHEDWMK06
EDW MK08,FLASHEDWMK08
EDW C01,FLASHEDWSC01
EDW C04,FLASHEDWSC04
EDW C06,FLASHEDWSC06
EDW C08,FLASHEDWSC08
EDW C12,FLASHEDWSC12
EDW SK06,FLASHEDWSK06
EDW M02,FLASHEDWSM02
EDW M04,FLASHEDWSM04
EDW M06,FLASHEDWSM06
EDW M08,FLASHEDWSM08
EDW S01,FLASHEDWSS01
EDW S06,FLASHEDWSS06
FSC 012,FSC01
FS C04,FSC04
FS C06,FSC06
FS C08,FSC08
FS C12,FSC12
FSCC 2222,FSCC2222
FSCC 2234,FSCC2234
FSCC 2246,FSCC2246
FSCC 3030,FSCC3030
FSCC 3046,FSCC3046
FSCC 3434,FSCC3434
FSCC 4622,FSCC4622
FSCC 4646,FSCC4646
FSCD C01,FSCDC01
FSCD C04,FSCDC04
FSCD C06,FSCDC06
FSCD C08,FSCDC08
FSCD M02,FSCDM02
FSCD M04,FSCDM04
FSCD M06,FSCDM06
FSCD M08,FSCDM08
FSCD S01,FSCDS01
FSCD S06,FSCDS06
FSCH C01,FSCHC01
FSCH C04,FSCHC04
FSCH C06,FSCHC06
FSCH C08,FSCHC08
FSCH M02,FSCHM02
FSCH M04,FSCHM04
FSCH M06,FSCHM06
FSCH M08,FSCHM08
FSCH S01,FSCHS01
FSCH S06,FSCHS06
FS M02,FSM02
FS M04,FSM04
FS M06,FSM06
FS M08,FSM08
FS S01,FSS01
FS S06,FSS06
GGL CK02,GGLCK02
GGL CK04,GGLCK04
GGL MK04,GGLMK04
GGL MK08,GGLMK08
GGL SK06,GGLSK06
GPL CK04,GPLCK04
GPL MK04,GPLMK04
GPL MK06,GPLMK06
GPL MK08,GPLMK08
GPL SK06,GPLSK06
KLF 200,KLF200
TWF 0K14,TWF0K14
TWR 0K14,TWR0K14
VCM 2222,VCM2222
VCM 2234,VCM2234
VCM 2246,VCM2246
VCM 3030,VCM3030
VCM 3046,VCM3046
VCM 3434,VCM3434
VCM 4646,VCM4646
VCS 2222,VCS2222
VCS 2234,VCS2234
VCS 2246,VCS2246
VCS 3030,VCS3030
VCS 3046,VCS3046
VCS 3434,VCS3434
VCS 4622,VCS4622
VCS 4646,VCS4646
VS  C01,VSC01
VS C04,VSC04
VS C06,VSC06
VS C08,VSC08
VSE C01,VSEC01
VSE C04,VSEC04
VSE C06,VSEC06
VSE C08,VSEC08
VSE M04,VSEM04
VSE M06,VSEM06
VSE M08,VSEM08
VSE S01,VSES01
VSE S06,VSES06
VS M02,VSM02
VS M04,VSM04
VS M06,VSM06
VS M08,VSM08
VS S01,VSS01
VS S06,VSS06
VSS C01,VSSC01
VSS C04,VSSC04
VSS C06,VSSC06
VSS C08,VSSC08
VSS M02,VSSM02
VSS M04,VSSM04
VSS M06,VSSM06
VSS M08,VSSM08
VSS S01,VSSS01
VSS S06,VSSS06
ZCT 300,ZCT300
ZOZ 032,ZOZ032
ZTR 0K14,ZTR0K14
ZZZ 201,ZZZ201
ZZZ 212,ZZZ212
TCR 014,
